Latitude,Longitude
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355526936,112.774285025
-7.355527555,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536523,112.774296882
-7.355536075,112.774305233
-7.355536075,112.774305233
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355537142,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528174,112.774308739
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.355528622,112.774300388
-7.35552969,112.774303894
-7.35552969,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.355520722,112.774303894
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
-7.35552117,112.774295543
